startt-ppa-id,personalInformation_name,company,designation,period
,Riju Jhunjhunwala,RSWM Limited,Chairman & Managing Director,Oct 2003 - Present
,Riju Jhunjhunwala,Jawahar Foundation,Founder,Jan 2019 - Present
,Riju Jhunjhunwala,HEG Limited,Vice Chairman,Jan 2009 - Present
,Riju Jhunjhunwala,Bhilwara Energy Ltd.,Managing Director,Jan 2009 - Present
,Ritesh Ritolia,Boston Consulting Group (BCG),Managing Director & Partner,May 2012 - Present
,Ritesh Ritolia,ITC Limited,Asst Manager,Jun 2008 - Jun 2010
,Rohan Jain,The Wellness Co.,Co-Founder,Jul 2021 - Present
,Rohan Jain,Rollins International Pvt Ltd,Marketing Manager,Jan 2021 - Jun 2021
,Rohan Jain,Airbnb,Marketing Communications Specialist,Aug 2019 - May 2020
,Rohan Jain,The Intercoastal Group,Marketing Intern,Feb 2019 - Apr 2019
,Rohan Jain,Tau Kappa Epsilon Fraternity,Alumni Relations Manager,Jan 2017 - May 2017
,Rohan Jain,Naftis Loading Solution,Intern,Jun 2016 - Jul 2016
,Rohan Kumar,DS Group (Dharampal Satyapal Limited),GM NBD,Aug 2010 - Present
,Rohan M,"SmartNews, Inc.",Software Engineer,Jan 2021 - May 2023
,Rohan M,Flipkart,Software Development Engineer - 2,May 2020 - Dec 2020
,Rohan M,Clarisights,Technical Lead,Jun 2017 - May 2020
,Rohan M,Udacity,Mentor,Apr 2019 - Oct 2019
,Rohan M,Celebal Technologies,Associate Software Developer Intern,Sep 2016 - Jan 2017
,Rohan M,Youstart,Developer Intern,Jun 2016 - Aug 2016
,Rohan M,GrabUp.in,Co-Founder,Jan 2014 - Dec 2015
,CA Rohit Goutamchand,S Goutamchand and Co.,Practice Lead,Oct 2008 - Present
,CA Rohit Goutamchand,CapUp,Building CapUp,Jan 2020 - Jul 2024
,CA Rohit Goutamchand,Rohit G and Company,Proprietor,Oct 2008 - Jul 2024
,Rohit Rajput,Intersection Ventures IN,Managing Partner,Jan 2023 - Present
,Rohit Rajput,PPAP Automotive Ltd,Independent Director,Nov 2023 - Present
,Rohit Rajput,Indian Angel Network,Angel Investor,Jan 2022 - Present
,Rohit Rajput,Max I ltd,Director (Investments),Sep 2017 - May 2023
,Rohit Rajput,Max Ventures & Industries Limited,"CEO, Max Asset Services",Oct 2016 - Jan 2023
,Rohit Rajput,Azure Hospitality Private Limited,Board Member,Jan 2019 - Dec 2022
,Rohit Rajput,Udayan Care,Advisory Board Member,Jan 2014 - Dec 2020
,Rohit Rajput,Korn Ferry Hay Group,Senior Principal,Sep 2014 - Oct 2016
,Rohit Rajput,Learning Curve Corporation,Founder,Feb 2007 - Aug 2014
,Rohit Rajput,Citibank N.A.,Manager,Jun 2002 - Jan 2007
,Ruchir Arora,CollegeDekho.com,Co founder and CEO,Jul 2015 - Present
,Ruchir Arora,Firefly e-Ventures Ltd,nan, - 
,Ruchir Arora,HTCampus.com,"Founder & Business Head - HTCampus, Digital Business, HT Media",Sep 2009 - May 2015
,Ruchir Arora,HTMedia,"Head â€ Sales Operations and Investments, Digital Business",Dec 2007 - Sep 2009
,Ruchir Arora,TechM,Manager - Strategic Initiatives,May 2006 - Nov 2007
,Ruchir Arora,CSC,Sr. Software Engineer,Apr 2004 - Apr 2005
,Ruchir Arora,IBM,Senior Software Engineering,Mar 2003 - Apr 2004
,Ruchir Arora,Birlasoft Limited,Software Engineer,Jan 2001 - Dec 2003
,Xavier Britto,Kerry Indev Logistics Pvt Ltd,Chairman, - 
,Sachin Agarwal,Digital iTechnology,"Vice President, Engineering and Product",Nov 2024 - Present
,Sachin Agarwal,Visa,Director of Product Management,Dec 2019 - Nov 2024
,Sachin Agarwal,Amazon,"Engineering Manager, Systems & Product",Mar 2017 - Nov 2019
,Sachin Agarwal,Oracle,Software Development Manager,Jun 2011 - Mar 2017
,Sachin Agarwal,Core Services,Engineering Operations Manager,Jul 2009 - Jun 2011
,Sachin Agarwal,CVS Caremark Corporation,System Architect,Aug 2007 - Jul 2009
,Sachin Agarwal,Wells Fargo,Unix System Engineer,Aug 2005 - Aug 2007
,Sachin Khivasara,Buoyant Capital,Managing Partner, - 
,Sakshi Soni,Party Zebra,Founder,Jan 2016 - Dec 2019
,Sakshi Soni,Jute Frog,Co Founder,Jul 2013 - Dec 2015
,Sakshi Soni,Yellow Hangers,Co-founder and Managing Director,Jun 2011 - Jul 2013
,Sambhav Rakyan,WTW,Global Business Leader - Rewards Data Intelligence,Oct 2010 - Present
,Sambhav Rakyan,Willis Towers Watson,"Head of Talent & Rewards, India",Dec 2016 - Dec 2019
,Sambhav Rakyan,Radford,Asia/Pacific Consultant,Jun 2008 - Oct 2010
,Sambhav Rakyan,Xerox Corporation,Financial Analyst Intern â€“ Enterprise Services & Support,Jun 2007 - Nov 2007
,Sambhav Rakyan,Aon Hewitt,"Operations Leader, Global Data Services Practice Leader, Malaysia",Jun 2008 - Oct 2013
,Sameer Bulchandani,Avdel India Private Limited,Director,Feb 2014 - Present
,Sameer Bulchandani,Avlock International India Private Limited,Director,Feb 2014 - Present
,Sameer Bulchandani,Rodessa Realty,Managing Partner,Jan 2012 - Present
,Sameer Bulchandani,Bluetree Capital Holdings LLC,General Partner,Feb 2020 - Present
,Sameer Chugh,Mosambee,Chief Executive Officer,Mar 2012 - Present
,Sameer Chugh,Ernst & Young,Senior Associate,Jan 2006 - Mar 2012
,Samir Desai,Zydus Lifesciences Limited,"President & Head, BU Biologics",Apr 2017 - Present
,Samir Desai,Cadila Healthcare Limited (Zydus Cadila),President & Head BU Biologics,Apr 2017 - Dec 2023
,Samir Desai,Zydus Cadila,Sr. Vice President & SBU Head,Jan 2001 - Apr 2017
,Samir Desai,Cadila Pharmaceuticals,AGM Marketing,Jan 1996 - Dec 2001
,Sameer Govani,Total TransLogistics,Business Owner,Apr 2021 - Present
,Sameer Govani,Total Equipment Solution,Business Owner,Jan 2008 - Present
,Sameer Govani,Mount Everest Mineral Water Limited,Consultant,Jan 2006 - Dec 2008
,Sameer Khetarpal,Jubilant FoodWorks Ltd.,Chief Executive Officer,Sep 2022 - Present
,Sameer Khetarpal,Amazon,"Director Grocery, Food and Health",Nov 2015 - Aug 2022
,Sameer Khetarpal,McKinsey and Company,Partner,Feb 2007 - Oct 2015
,Sameer Khetarpal,Genpact,Service Delivery Leader,Jul 2002 - Jan 2007
,Sameer Khetarpal,Unilever,Production Manager,Jul 1997 - Jun 2001
,Sameer Koticha,ASK Group,Founder & Chairman,Apr 1983 - Present
,Sameer Kulkarni,Booksowl.com,Co-Founder,Jan 2017 - Present
,Sameer Kulkarni,I - Deb accountancy pvt ltd,Team leader, - 
,Sameer Kulkarni,Bourke Group,Financial Analyst,May 2015 - Present
,Sameer Nagpal,OneBanc,House of Growth,Feb 2020 - Present
,Sameer Nagpal,CoCubes.com,"Director, Employability Solutions",Dec 2016 - Feb 2020
,Sameer Nagpal,National Instruments,National Head- Institutions,Jul 2006 - Nov 2016
,Sameer Sainani,Optimal Media Solutions (The Times of India),President,May 2023 - Present
,Sameer Sainani,"Bennett, Coleman and Co. Ltd. (Times Group)",Director Response,Aug 2012 - Jun 2023
,Sameer Sainani,Worldwide Media Ltd. (Femina),Board Member,Sep 2018 - Mar 2023
,Sameer Sainani,Radio Mirchi - (Entertainment Network India Ltd - A Times Group Company),Chief Revenue Officer,Feb 2011 - Aug 2012
,Sameer Sainani,Radio Mirchi - ENIL (A Times Group Co.),Executive Vice President and National Sales Head,Mar 2009 - Feb 2011
,Sameer Sainani,Alternate Brand Solutions Ltd. (A Times Group Co.),Chief Operating Officer,Sep 2007 - Mar 2009
,Sameer Sainani,Radio Mirchi - (ENIL - A Times Group Co),Sr. Vice President,Jan 2006 - Dec 2007
,Sameer Sainani,Electrolux India Ltd,Vice President and Station Head,Mar 2003 - Aug 2006
,Sameer Sainani,Pepsico India Holdings Ltd,Marketing Manager,May 1997 - Oct 2000
,Samir Srivastav,LOOKS SALON PVT. LTD.,Chief Executive Officer,Mar 2023 - Present
,Samir Srivastav,Jean Claude Biguine - Salon & Spa,Chief Executive Officer,Mar 2014 - Feb 2023
,Samir Srivastav,VLCC Health Care Limited,"Chief Executive Officer- Education, Spas, Franchise Operation, Sri Lanka & Bangladesh",Nov 2011 - Mar 2014
,Samir Srivastav,Kaya Skin Clinic,"Executive Vice President and Regional Head, Middle East",Nov 2006 - Oct 2011
,Samir Srivastav,Marico Limited,Head - Asia Pacific,Dec 1993 - Nov 2005
,Samir Srivastav,Dalmia Industries Limited,Area Sales Manager- Andhra Pradesh,Jul 1991 - Nov 1993
,Sandeep Bhadresa,WNS Global Services,Manager Treasury,Sep 2008 - Present
,Samyak Deora,Deora Group of Industries,Director, - 
,Sandeep Kapoor,legalverse.ai,Founder,Dec 2023 - Present
,Sandeep Kapoor,Algo Legal,Founder and Managing Partner,Aug 2019 - Feb 2024
,Sandeep Kapoor,Sequoia Capital,Director Legal,Jun 2010 - Mar 2019
,Sandeep Kapoor,Intel Technology India Private Limited,Senior Attorney and General Counsel South Asia,Jul 2005 - May 2010
,Sandeep Kapoor,L&L Partners,Senior Associate,Oct 2003 - Jun 2005
,Sandeep Kapoor,"Vaish Associates, Advocates",Associate,Jul 2001 - Sep 2003
,Sandeep Kapoor,Ranbaxy,"Manager, Legal",Jan 2000 - Jun 2001
,Sandeep Kapoor,Allianz Capital & Management Services,Manager & Company Secretary,Dec 1997 - Dec 1999
,"Sandesh Pandhare, CFA",Independent Investor,VC-PE Investor | Board Advisor | Mentor,Jul 2017 - Present
,"Sandesh Pandhare, CFA",DXB Entertainments,Chief Financial & Investment Officer,Nov 2014 - Jun 2017
,"Sandesh Pandhare, CFA",Meraas Holding,Vice President - Strategy & Business Development,Mar 2013 - Oct 2014
,"Sandesh Pandhare, CFA",Istithmar World (Dubai World Group),Managing Director & Head of Private Equity,Sep 2003 - Feb 2013
,"Sandesh Pandhare, CFA",Jafza,Financial Controller,Aug 2002 - Aug 2003
,"Sandesh Pandhare, CFA",Oriel Investment Company,Assistant Vice President,Jan 2001 - Jul 2002
,"Sandesh Pandhare, CFA",Financial Services Company,Senior Manager,Sep 1999 - Dec 2000
,"Sandesh Pandhare, CFA",SBI Funds Management,Assistant Vice President,May 1991 - Aug 1999
,Sanjay Dalmia,Dalmia Group of Companies,Chairman, - 
,Sanjay Gupta,VA Talks,Operations & Digital Transformation Manager,Feb 2015 - Present
,Sanjay Gupta,Wipro,Quality Auditor,Feb 2011 - Feb 2013
,Sanjay Gupta,IBM,Floor Supervisor,Jan 2008 - Dec 2010
,Sanjay Notani,Economic Laws Practice,Senior Partner,Sep 2001 - Present
,Sanjay Notani,Lex Inde,"Counsel, Litigator",Sep 1995 - Aug 2001
,Sanjay Wadhwa,NASH ENERGY (I) PVT LTD,Chairman and Managing Director,Oct 2022 - Present
,Sanjay Wadhwa,Nash Industries (I) Pvt. Ltd.,Owner,Jul 1995 - Present
,Sanjeev S.,"Beauty Tech, OmniChannel Retail",Chief Technology Officer,Oct 2022 - Present
,Sanjeev S.,Wadhwani Foundation,Startup Mentor,Jan 2023 - Present
,Sanjeev S.,Kama Ayurveda Pvt. Ltd.,Chief Technology Officer,Aug 2020 - Sep 2022
,Sanjeev S.,iProf Learning Solutions Pvt Ltd,Chief Technology Officer,Jun 2012 - Jun 2015
,Sanjeev S.,Reliance BIG Entertainment Pvt Ltd (BIGFlix),Chief Technology Officer,Mar 2007 - Mar 2012
,Sanjeev S.,Times Internet Limited,Head Technology,Sep 2000 - Mar 2007
,Sanjeev S.,India Today Group Digital,nan, - 
,Sanjeev S.,Informica inc (USA),Chief Manager (Systems & Databases),Dec 1997 - Aug 2000
,Sanjeev S.,Indian Express Newspapers (B) Pvt Ltd,Chief Manager (Information Systems),Feb 1990 - Nov 1997
,Sarthak Misra,SoftBank Investment Advisers,Partner,Apr 2019 - Present
,Sarthak Misra,Matrix Partners India,Investment Professional,Aug 2017 - Mar 2019
,Sarthak Misra,Apax Partners,Summer Associate,May 2016 - Aug 2016
,Sarthak Misra,McKinsey & Company,Business Analyst,Jul 2013 - Apr 2015
,Sarthak Misra,Bank of America Merrill Lynch,"Summer Analyst, Technology Investment Banking",Jun 2012 - Aug 2012
,Sarthak Misra,Bain Capital,Summer Intern - Private Equity,Jun 2011 - Aug 2011
,Sarvesh D Shahra,Living Foods India Pvt Ltd,Founder & CEO,Apr 2019 - Present
,Sarvesh D Shahra,RUCHI SOYA INDUSTRIES LTD,"President, Palm Plantations Business",Jan 2003 - Aug 2017
,Sarvesh D Shahra,Ruchi Kagome Foods India Private Limited,Founder & Director,Feb 2014 - Aug 2017
,Sarvesh D Shahra,Ruchi J-Oil Pvt Ltd,Founder & Director,Jun 2013 - Jul 2017
,Satish Perala,Cybrilla,Founder,Jan 2012 - Present
,Satish Perala,Bizkaro,Founder,Jan 2010 - Dec 2011
,Satish Perala,Guiding Shadow,Founder,Jan 2009 - Dec 2010
,Satish Perala,OnMobile,Software Developer,Jul 2007 - Jul 2009
,Satyan Gajwani,Times Internet,Vice Chairman,Jun 2012 - Present
,Satyan Gajwani,"BCCL, The Times of India Group","Director, New Media",Dec 2008 - Jun 2012
,Satyan Gajwani,Lehman Brothers,Consumer Equities Trader,Jul 2007 - Dec 2008
,Satyan Gajwani,Stanford Student Enterprises,"Director, Stanford Store",Jan 2004 - Dec 2006
,Satyendra Shukla,Four-S Services Pvt. Ltd.,Founder and CEO,May 2002 - Present
,Satyendra Shukla,HCL Technologies,Deputy General Manager,Jan 2000 - Dec 2003
,Satyendra Shukla,ICRA,Senior Analyst,Jan 1996 - Dec 2000
,Satyendra Shukla,The Economic Times,Senior Analyst,Jan 1994 - Dec 1996
,Saumil Parekh,PharmEasy,"Vice President - Marketing, Growth and Revenue",Apr 2016 - Jan 2024
,Saumil Parekh,White Owl Brewery,Business Operations Manager,Sep 2015 - Apr 2016
,Saumil Parekh,Colgate Palmolive,Area Manager,Apr 2013 - Aug 2015
,Saumil Parekh,Infosys,Instructional Designer,Aug 2010 - May 2012
,Saurabh Pandey,Sedna Horeca Private Limited (Sedna HoReCa),Managing Director,May 2025 - Present
,Saurabh Pandey,Akna Medical Pvt Ltd (Aknamed),Founder & CEO,Nov 2018 - Apr 2025
,Saurabh Pandey,Equirus,Director - Healthcare,Jul 2017 - May 2018
,Saurabh Pandey,Mewar Hospital,Chief Operating Officer,Dec 2015 - Jun 2017
,Saurabh Pandey,Bourn Hall Clinic Dubai,Chief Financial Officer - MENA Region,Jun 2015 - Nov 2015
,Saurabh Pandey,Sapient Advisors,Director,Jan 2013 - Jun 2015
,Saurabh Pandey,Grant Thornton India,Associate Director,Jun 2006 - Dec 2012
,Saurabh Pandey,CARE Ratings Ltd.,Branch Manager,Apr 2005 - Jun 2006
,Sawan Gupta,Spero Realty,Director,Jan 2013 - Present
,Sawan Gupta,The Chef Lane,Co-Founder,Jan 2022 - Present
,Sawan Gupta,EO Chennai,Board Member,Jul 2021 - Present
,Sawan Gupta,Spero Power Pvt. Ltd.,Director,Apr 2012 - Present
,Sawan Gupta,Spero Foundations Pvt. Ltd.,Director,Jan 1998 - Present
,Sawan Gupta,Spero Minerals,Partner,Jan 2011 - Feb 2022
,Sawan Gupta,Gupta Garments India Pvt. Ltd.,Director,Jan 1998 - Aug 2011
,Sawan Gupta,Carat International,Trainee,Jul 1997 - Aug 1997
,Shailendra Kumar Tripathi,JMC Projects (India) Ltd,Managing Director & CEO,May 2012 - Present
,Shailendra Kumar Tripathi,Mumbai - Kalpataru Synergy,Executive Director,Jul 2008 - Apr 2012
,Shailendra Kumar Tripathi,Larsen & Toubro,Head-Operations (Road & Runway Business Unit),Jan 1992 - Jun 2008
,Shailendra Kumar Tripathi,Oriental Structural Engineers,General Manager - Operations,Jan 2001 - Mar 2007
,Shailendra Kumar Tripathi,"MECON Limited, India",Assistant Manager,Jul 1988 - Dec 1991
,Shailendra Kumar Tripathi,Gammon India Ltd,Assistant Engineer,Jan 1985 - Jun 1988
,Shaishav Dharia,Lodha Group,CEO - Townships and Rental Assets; Director - Green Digital Infrastructure,Mar 2013 - Present
,Shaishav Dharia,McKinsey and Company,"President, Strategy",Aug 2005 - Dec 2013
,Shaishav Dharia,Logic Tools (now IBM),Vice President,Mar 2003 - Sep 2005
,Shaishav Dharia,KPMG Consulting,nan, - 
,Shaishav Dharia,International Paper,Manager,Apr 1997 - Mar 2003
,Shalabh Singhal,Trademo,Founder & CEO,Jun 2020 - Present
,Shalabh Singhal,ZipLoan,Co-Founder & Director,Aug 2015 - Present
,Shalabh Singhal,Credence,Founder,Apr 2011 - May 2015
,Shalabh Singhal,Goldman Sachs Asset Management,Employee,Jun 2009 - Mar 2011
,Shalabh Singhal,Goldman Sachs,Intern,May 2008 - Jul 2008
,Shankar Vailaya,Universal Learning Aid Private Limited,Director,Aug 2021 - Present
,Shankar Vailaya,Cognigix Digital Learning Pvt. Ltd.,Director,Aug 2021 - Mar 2025
,Shankar Vailaya,Sharekhan BNP Paribas Financial Services Limited,CEO and Director,Oct 2017 - Jul 2021
,Shankar Vailaya,Sharekhan Limited,Director,Apr 1999 - Jul 2021
,Shankar Vailaya,SSKI Securities,Director,Jan 1994 - Dec 2000
,Shankar Vailaya,Automobile Products of India,Industrial trainee,Jan 1987 - Dec 1989
,Shanmugam Nagappan,Reveleer Global Capability Center,Managing Director,Mar 2025 - Present
,Shanmugam Nagappan,IMMO,Managing Director & Director on the Board - India,Oct 2022 - Feb 2025
,Shanmugam Nagappan,OEConnection (OEC),Country Leader & Director on the Board - India,Jul 2021 - Oct 2022
,Shanmugam Nagappan,Replicon,"COO, MD & Director on the Board (India)",Aug 2017 - Aug 2018
,Shanmugam Nagappan,Wolters Kluwer ELM Solutions (Formerly Datacert),Managing Director - India & Director on the Board,Sep 2013 - Aug 2017
,Shanmugam Nagappan,Pride Technologies India,Managing Director,Jan 2011 - Sep 2013
,Shanmugam Nagappan,KPMG,Director,Aug 1997 - Oct 2010
,Shanmugam Nagappan,Insight,"Global CIO (Software Spectrum), Senior Vice President (Insight)",Nov 2004 - Dec 2009
,Shanmugam Nagappan,Oracle Corporation,S. Consultant,Jan 1996 - Dec 1997
,Shekhar Khanolkar,Excel Industries Ltd.,Independent Director & Member of RM and NRC,Aug 2024 - Present
,Shekhar Khanolkar,Aarti Industries Ltd.,Independent Director & Member of Audit committee,Jun 2023 - Present
,Shekhar Khanolkar,DCM Shriram LTD,Executive Director & CEO Chemicals,Nov 2018 - Aug 2022
,Shekhar Khanolkar,NFIL(UK) Limited,Director,Aug 2015 - Oct 2018
,Shekhar Khanolkar,Navin Fluorine (Shanghai) Co Limited,Managing Director,Apr 2015 - Oct 2018
,Shekhar Khanolkar,Swarnim Gujarat Fluorspar Pvt Ltd,Director,Jun 2012 - Oct 2018
,Shekhar Khanolkar,Manchester Organics Limited,Director,May 2011 - Oct 2018
,Shekhar Khanolkar,Navin Fluorine International Ltd.,Managing Director,Nov 2007 - Oct 2018
,Shekhar Khanolkar,Convergence Chemicals Pvt Limited,Director,Jan 2015 - Oct 2017
,Shekhar Khanolkar,BASF India Limited,Chief Executive Functional polymers,Jan 2001 - Dec 2007
,Shekhar Khanolkar,Cetex Petrochemicals,Marketing Controller,Jan 1995 - Dec 2001
,Shekhar Khanolkar,Cyanamid India limited,Product executive,Jun 1992 - Dec 1995
,Shekhar Khanolkar,ALKYL AMINES CHEMICALS LTD.,Chemical Engineer,Jan 1989 - Dec 1990
,Shibu Mathai,Pescainde Pvt Ltd,CEO,Jun 1996 - Present
,Shireen Rangaswamy,Parkment Club,Co-Founder,Nov 2023 - Present
,Shireen Rangaswamy,Maggemane Foods LLP,Managing Director,Jun 2023 - Present
,Shireen Rangaswamy,Calyx Commodities,Managing Director,Jan 2016 - Present
,Shireen Rangaswamy,Sri Lakshmi Stone Crushing Industries,Partner,Nov 2016 - Present
,Shireen Rangaswamy,SVR Builders India Pvt. Ltd,Director,Jan 2012 - Present
,Shiv Tallam,Groww,Director Corporate Development,Jan 2022 - Present
,Shiv Tallam,Unitus Ventures,Vice President - Venture Capital,Jun 2020 - Jan 2022
,Shiv Tallam,Lok Capital,Associate,Mar 2017 - Jun 2020
,Shiv Tallam,Sprout Capital Advisors LLP,Associate Vice President,Mar 2016 - Dec 2017
,Shiv Tallam,Trefis.com,Equity Research Analyst,Mar 2012 - Apr 2013
,Shiv Tallam,Deutsche Bank,Senior Analyst,May 2011 - Mar 2012
,Shiv Tallam,Fidelity Investments,Graduate Engineer,Jul 2007 - Jun 2008
,Shraddha Sheth,FitEduCoach,Founder,Jul 2024 - Present
,Shraddha Sheth,Gold's Gym India,Head of Business Operations,Feb 2003 - Jul 2024
,Shraddha Sheth,Reliance Hospitality,Junior Clinical Nutritionist,Jan 2000 - Dec 2001
,Shruti Shruti,ApnaKlub,Cofounder and CEO,Jun 2019 - Present
,Shruti Shruti,Impact Investing,Associate,Feb 2014 - Jun 2017
,Shruti Shruti,Bain & Company,Associate Consultant,Jan 2012 - Dec 2014
,Shweta Jain,"The Leela Palaces, Hotels and Resorts",Chief Marketing & Sales Officer,Apr 2024 - Present
,Shweta Jain,Nao Spirits & Beverages Pvt Ltd,Member Board of Directors,Jul 2022 - May 2024
,Shweta Jain,Diageo,"Chief Business Development Officer: Business Head Premium, Luxury & Craft - India & South Asia",Jan 2018 - Apr 2024
,Shweta Jain,William Grant & Sons,Head Of Marketing,Jan 2015 - Sep 2017
,Shweta Jain,ShopClues,"Marketing, Strategy and Communications Consultant",Apr 2014 - Nov 2014
,Shweta Jain,Pernod Ricard India,Category Marketing Head - Super Premiums & Luxury,Jun 2007 - Sep 2013
,Shweta Jain,Ogilvy,Management Supervisor/Group Head,Jan 2003 - Dec 2007
,Shweta Jain,McCann Worldgroup,Group Account Manager,Nov 2001 - Dec 2002
,Shweta Jain,Gillette India Pvt. Ltd,Product Marketing Manager,Jan 2001 - Dec 2002
,Shweta Jain,Rediffusion DY&R,Account Manager,Jan 1998 - Dec 2000
,Shyam Ramamurthy,Multiple,CPTO/CTO | Intrapreneur | Advisor,Jul 2023 - Present
,Shyam Ramamurthy,Google,Director of Engineering,May 2021 - Jul 2023
,Shyam Ramamurthy,Amazon,"Director, Software Development, Performance Advertising Platform",Jan 2020 - May 2021
,Shyam Ramamurthy,Goals101,CPO/Advisory Board Member,Sep 2018 - Jul 2019
,Shyam Ramamurthy,Northstar,Founder CPTO,Nov 2014 - Mar 2017
,Shyam Ramamurthy,Yahoo!,Senior Director and Global Head of Engineering - Yahoo.com and Media Homepages,Sep 2007 - Mar 2014
,Shyam Ramamurthy,Motorola EMB(Symbol Tech),Director of Engineering,Sep 2004 - Sep 2007
,Shyam Ramamurthy,Oracle Corp,Principal Member and R&D Manager,May 2002 - Sep 2004
,Shyam Ramamurthy,Cygent,Enterprise Architect,Jan 2000 - Dec 2002
,Shyam Ramamurthy,Quark,R&D Manager,Jan 1998 - Dec 2000
,Shyam Ramamurthy,Infosys Technologies,Project Manager,Jan 1996 - Dec 1998
,Shyam Ramamurthy,BEML,R&D Manager (Industrial robotics and Automation),Sep 1988 - Sep 1996
,Siddharth Agrawal,SILKASIA,Owner,Feb 2000 - Nov 2004
,Siddhartha Khemka,Motilal Oswal Financial Services Ltd,Vice President - Head of Research (Retail),Nov 2017 - Present
,Siddhartha Khemka,Centrum Wealth Management Ltd,VP - Research,Jul 2012 - Oct 2017
,Siddhartha Khemka,Centrum Broking,Equity Research Analyst,Jun 2008 - Jun 2012
,Siddhartha Khemka,ICICI Securities,Equity Research Analyst,Jun 2006 - May 2008
,Siddhartha Khemka,Birla Sunlife Distribution,Executive - Investment Research,Sep 2005 - May 2006
,Siddhartha Pahwa,Ocimum Partners,Founding Partner,Jan 2022 - Present
,Siddhartha Pahwa,GluedIn,Investor,Jul 2023 - Present
,Siddhartha Pahwa,Beautywise,Investor,Feb 2024 - Present
,Siddhartha Pahwa,Woovly,nan, - 
,Siddhartha Pahwa,YourStory Elevate,Mentor,Jan 2022 - Present
,Siddhartha Pahwa,Redesyn,Investor and Mentor,Jan 2021 - Present
,Siddhartha Pahwa,One Impression,Investor and Mentor,Jan 2020 - Present
,Siddhartha Pahwa,BCG,External Advisor,May 2019 - Present
,Siddhartha Pahwa,3C's Consulting,Founder & CEO,Nov 2018 - Present
,Siddhartha Pahwa,Jubilant Life Sciences Ltd.,"Chief of Supply Chain, Business Excellence & IT",Jun 2017 - Nov 2018
,Siddhartha Pahwa,Meru Cabs Company Pvt Ltd,Chief Executive Officer,Nov 2011 - Dec 2016
,Siddhartha Pahwa,Abbott Healthcare Pvt. Ltd,President - Supply Chain,Sep 2010 - Nov 2011
,Siddhartha Pahwa,Piramal Healthcare Limited,President - Global Supply Chain,May 2007 - Sep 2010
,Siddhartha Pahwa,Unilever,"Director - Finance Skin Category Asia, Africa, Middle East & Turkey",Mar 2006 - May 2007
,Sidhant Keshwani,Libas,Founder,Aug 2012 - Present
,Simple Juneja,Kahu Venture Partners LLP,Founding Partner,Nov 2024 - Present
,Simple Juneja,East Network,Chairperson of the Innovation Committee,Jan 2023 - Jan 2024
,Simple Juneja,Smiling Earth Organic Farms,Co-Founder,Apr 2021 - Oct 2022
,Simple Juneja,The Coca-Cola Company,Director-Venturing & Emerging Brands,Dec 2008 - Mar 2021
,Simple Juneja,Bacardi,Head - National Key Accounts,May 2003 - Oct 2008
,Simple Juneja,LVMH,Director - Sales and Marketing for Dior Watches and Jewellery,Jan 2007 - Dec 2007
,Simple Juneja,Showtime Events,Senior Business Development Manager,Jun 1998 - Apr 2003
,Siraj D.,InnAccel,"Founder, CEO",May 2012 - Present
,Siraj D.,PharmARC Analytic Solutions,"Founder, CEO, Director",Jan 2004 - Dec 2012
,Siraj D.,Strand Life Sciences,"Head, Business Development",Jan 2002 - Dec 2003
,Siraj D.,UBS Warburg,Associate Director,Jan 2000 - Dec 2002
,Siraj D.,Bristol-Myers Squibb,"Associate Director, In-Licensing and Portfolio Management",Jan 1995 - Dec 2000
,Siva Rajamani,Everstage,Co-Founder & CEO,Apr 2020 - Present
,Siva Rajamani,Uncappd,Founding Member,Aug 2023 - Present
,Siva Rajamani,Freshworks,Director and Head of Revenue Operations,Feb 2016 - Sep 2019
,Siva Rajamani,PwC,Management Consultant,Jan 2014 - Dec 2016
,Siva Rajamani,Ernst & Young,Consultant,Jan 2010 - Dec 2013
,Siva Rajamani,ACC Holcim,Assistant Manager (MT),Jan 2009 - Dec 2010
,Sreekanth Lapala,Dextara Digital,Founder and CEO,Nov 2019 - Present
,Sreekanth Lapala,NIIT Technologies Limited,EVP and Global Business Head NIIT-INCESSANT,Mar 2019 - Nov 2019
,Sreekanth Lapala,Virtusa,Executive Vice President,May 2002 - Mar 2019
,Sreekanth Lapala,TenXLabs,Co-Founder & Chief Executive,Oct 2010 - Dec 2012
,Sreekanth Lapala,Pramati Technologies,Product Engineer,Nov 2000 - May 2002
,Sridhar Sankararaman,Geniemode,Director,Apr 2025 - Present
,Sridhar Sankararaman,Multiples Alternate Asset Management,Managing Director,Sep 2009 - Present
,Sridhar Sankararaman,Instant Transport Solution Pvt Ltd,Director,Jan 2025 - Present
,Sridhar Sankararaman,Licious - Born to meat,Director,Jul 2021 - Present
,Sridhar Sankararaman,Natco Pharma Limited - India,Director,May 2018 - Feb 2022
,Sridhar Sankararaman,Encube Ethicals Private Limited,Board Observer,Jul 2016 - Jun 2021
,Sridhar Sankararaman,Vikram Hospital (Bengaluru) Pvt Ltd.,Board Observer,Jul 2013 - May 2021
,Sridhar Sankararaman,MILLTEC MACHINERY PRIVATE LIMITED,Director,Jan 2017 - Mar 2019
,Sridhar Sankararaman,"SUN Private Equity, London",Senior Associate,Jun 2006 - Sep 2009
